60,,Bitcoin SV,BSV,156.58,$2.98B,$153.59M,0.14%,+1.71%,-9.24%
61,,Neo,NEO,41.783,$2.96B,$189.78M,0.18%,+1.26%,-14.97%
62,,THORChain,RUNE,11.205,$2.88B,$67.96M,0.06%,+1.16%,-14.06%
63,,Quant,QNT,231.41,$2.81B,$46.69M,0.04%,-0.86%,-11.62%
64,,Chiliz,CHZ,0.4622,$2.76B,$416.08M,0.38%,+0.41%,-14.87%
65,,Stacks,STX,2.104,$2.73B,$48.94M,0.05%,+2.38%,-8.46%
66,,Gala,GALA,0.36432,$2.56B,$3.44B,3.18%,+59.91%,+271.08%
67,,Zcash,ZEC,176.97,$2.34B,$900.06M,0.83%,+11.65%,-12.34%
68,,Waves,WAVES,21.613,$2.31B,$66.92M,0.06%,-1.45%,-9.14%
69,,Holo,HOT,0.012951,$2.25B,$188.21M,0.17%,+2.09%,-4.08%
70,,BitTorrent,BTT,0.003387,$2.24B,$394.71M,0.36%,-0.20%,-10.10%
71,,Amp,AMP,0.05303,$2.23B,$17.41M,0.02%,+3.42%,-10.58%
72,,Arweave,AR,65.51,$2.16B,$69.52M,0.06%,+8.54%,-11.26%
73,,Dash,DASH,192.13,$2.01B,$337.39M,0.31%,+3.38%,-14.76%
74,,SafeMoon,SAFEMOON,0.00000313,$2.01B,$14.31M,0.01%,-9.01%,-7.87%
75,,KuCoin Token,KCS,24.455,$1.97B,$36.52M,0.03%,+3.84%,+4.60%
76,,Compound,COMP,310.5,$1.88B,$102.68M,0.09%,+0.78%,-10.24%
77,,Celo,CELO,5.2931,$1.84B,$42.79M,0.04%,-0.54%,-9.70%
78,,IoTeX,IOTX,0.18228,$1.75B,$222.97M,0.21%,-3.98%,-23.07%
79,,Theta Fuel,TFUEL,0.3279,$1.74B,$40.27M,0.04%,+3.61%,-4.82%
80,,Nexo,NEXO,3.08,$1.73B,$13.39M,0.01%,-0.49%,-5.89%
81,,Curve DAO Token,CRV,3.9451,$1.70B,$257.49M,0.24%,-1.85%,-6.72%
82,,WAX,WAXP,0.90029,$1.67B,$249.43M,0.23%,-1.05%,+56.00%
83,,Immutable X,IMX,8.8649,$1.66B,$225.52M,0.21%,0%,+57.57%
84,,Basic Attention Token,BAT,1.08579,$1.62B,$330.21M,0.30%,+1.06%,-6.26%
85,,NEM,XEM,0.17735,$1.60B,$86.67M,0.08%,+0.74%,-7.66%
86,,Huobi Token,HT,9.8221,$1.57B,$68.77M,0.06%,-0.95%,-0.03%
87,,Decred,DCR,109.56,$1.49B,$8.42M,0.01%,+2.97%,-2.94%
88,,Qtum,QTUM,14.9688,$1.49B,$309.65M,0.29%,+1.00%,-9.16%
89,,OKB,OKB,24.629,$1.48B,$341.80M,0.32%,-0.17%,-9.94%
90,,ICON,ICX,2.2231,$1.46B,$64.46M,0.06%,+0.61%,-5.52%
91,,OMG Network,OMG,9.7693,$1.38B,$668.13M,0.62%,-4.86%,-19.95%
92,,Mina,MINA,4.521,$1.36B,$78.06M,0.07%,-3.50%,-17.54%
93,,Radio Caca,RACA,0.0079,$1.35B,$297.29M,0.27%,-11.02%,-22.79%
94,,TrueUSD,TUSD,0.9992,$1.24B,$134.27M,0.12%,0%,+0.01%
95,,Ravencoin,RVN,0.12034,$1.22B,$67.09M,0.06%,-1.03%,-5.81%
96,,yearn.finance,YFI,"31,637",$1.17B,$165.86M,0.15%,+0.01%,-2.96%
97,,SushiSwap,SUSHI,8.951,$1.14B,$196.15M,0.18%,-2.74%,-19.02%
98,,Revain,REV,0.01327,$1.13B,$3.01M,0%,-0.97%,-12.40%
99,,Horizen,ZEN,95.406,$1.12B,$88.71M,0.08%,+7.31%,-4.36%
100,,Audius,AUDIO,2.231,$1.12B,$56.83M,0.05%,-0.31%,-7.11%
101,,Livepeer,LPT,52.49,$1.12B,$66.17M,0.06%,-4.13%,-25.71%
102,,Zilliqa,ZIL,0.091435,$1.10B,$56.56M,0.05%,+0.15%,-9.94%
103,,XDC Network,XDC,0.0892,$1.09B,$3.16M,0%,+1.56%,-7.35%
104,,Secret,SCRT,7.207,$1.08B,$7.76M,0.01%,-5.37%,-8.40%
105,,Velas,VLX,0.497,$1.08B,$32.32M,0.03%,+1.05%,+33.34%
106,,UMA,UMA,16.808,$1.07B,$69.37M,0.06%,-3.66%,+1.25%
107,,Voyager Token,VGX,3.89,$1.06B,$24.47M,0.02%,+1.73%,+34.08%
108,,Ankr,ANKR,0.13,$1.06B,$133.98M,0.12%,+1.51%,+2.80%
109,,Perpetual Protocol,PERP,15.3,$1.05B,$36.77M,0.03%,+2.62%,-14.27%
110,,Bitcoin Gold,BTG,59.12,$1.04B,$19.21M,0.02%,+0.96%,-10.30%
111,,Siacoin,SC,0.02091,$1.04B,$98.78M,0.09%,+3.46%,+6.41%
112,,Telcoin,TEL,0.018343,$1.01B,$13.75M,0.01%,-0.89%,-8.16%
113,,Synthetix,SNX,8.78,$1.01B,$68.05M,0.06%,+0.77%,-9.00%
114,,Oasis Network,ROSE,0.28689,$1.01B,$300.69M,0.28%,+3.47%,+25.12%
115,,renBTC,RENBTC,"59,159.77",$1.01B,$2.12M,0%,+2.04%,-8.50%
116,,Bancor,BNT,4.0961,$974.73M,$37.59M,0.03%,+0.48%,-10.96%
117,,0x,ZRX,1.13337,$963.72M,$56.87M,0.05%,-0.48%,-12.89%
118,,Celsius,CEL,3.9666,$959.94M,$3.62M,0%,-6.33%,-14.45%
119,,Pax Dollar,USDP,0.9994,$945.71M,$6.43M,0.01%,+0.01%,0%
120,,Ethereum Name Service,ENS,46.547,$942.34M,$137.08M,0.13%,-3.56%,-20.09%
121,,Dogelon Mars,ELON,0.00000,$920.43M,$41.50M,0.04%,-1.71%,-2.65%
122,,BORA,BORA,1.06682,$918.80M,$764.36M,0.71%,+12.61%,+189.21%
123,,MobileCoin,MOB,12.3133,$913.87M,$995.21K,0%,+2.61%,+1.34%
124,,Bloktopia,BLOK,0.10624,$891.15M,$85.94M,0.08%,0%,+28.28%
125,,Ontology,ONT,0.9732,$854.90M,$108.38M,0.10%,-0.22%,-9.38%
126,,Convex Finance,CVX,22.4254,$834.93M,$14.28M,0.01%,-2.44%,-30.61%
127,,Ren,REN,0.8238,$823.90M,$59.43M,0.05%,+3.39%,-10.14%
128,,XYO,XYO,0.063893,$821.87M,$107.71M,0.10%,+3.49%,-1.96%
129,,Serum,SRM,6.062,$808.97M,$135.31M,0.12%,+3.25%,-13.87%
130,,Moonriver,MOVR,341.1,$794.15M,$20.13M,0.02%,-1.58%,-5.04%
131,,WOO Network,WOO,1.39847,$788.36M,$24.80M,0.02%,-5.73%,-12.15%
